,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year
123,Cinderella (2015),BV,"$67,877,361 ",3/13/15,,,,3,2015
124,Quantum of Solace,Sony,"$67,528,882 ",11/14/08,Marc Forster,,tt0830515,11,2008
125,Rush Hour 2,NL,"$67,408,222 ",8/3/01,Brett Ratner,"$90,000,000 ",tt0266915,8,2001
126,Frozen,BV,"$67,391,326 ",11/27/13,"Chris Buck, Jennifer Lee","$400,738,009 ",tt2294629,11,2013
127,World War Z,Par.,"$66,411,834 ",6/21/13,Marc Forster," $66,411,834,",tt0816711,6,2013
128,Brave,BV,"$66,323,594 ",6/22/12,"Mark Andrews, Brenda Chapman, Steve Purcell(co-director)","$185,000,000 ",tt1217209,6,2012
129,Cars 2,BV,"$66,135,507 ",6/24/11,"John Lasseter, Brad Lewis(co-director)","$200,000,000 ",tt1216475,6,2011
130,X-Men: Apocalypse,Fox,"$65,769,562 ",5/27/16,Bryan Singer,"$178,000,000 ",tt3385516,5,2016
131,Thor,Par.,"$65,723,338 ",5/6/11,Kenneth Branagh,"$150,000,000 ",tt0800369,5,2011
132,Teenage Mutant Ninja Turtles (2014),Par.,"$65,575,105 ",8/8/14,,,,8,2014
133,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$65,556,312 ",12/9/05,Andrew Adamson,"$180,000,000 ",tt0363771,12,2005
134,2012,Sony,"$65,237,614 ",11/13/09,Roland Emmerich,"$200,000,000 ",tt1190080,11,2009
135,Captain America: The First Avenger,Par.,"$65,058,524 ",7/22/11,Joe Johnston,"$140,000,000 ",tt0458339,7,2011
136,War of the Worlds,Par.,"$64,878,725 ",6/29/05,Steven Spielberg,"$132,000,000 ",tt0407304,6,2005
137,The Twilight Saga: Eclipse,Sum.,"$64,832,191 ",6/30/10,David Slade,"$68,000,000 ",tt1325004,6,2010
139,Madagascar: Escape 2 Africa,P/DW,"$63,106,589 ",11/7/08,"Eric Darnell, Tom McGrath"," $63,106,589,",tt0479952,11,2008
140,WALL-E,BV,"$63,087,526 ",6/27/08,Andrew Stanton,"$180,000,000 ",tt0910970,6,2008
141,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$62,983,253 ",5/26/17,"Joachim Rønning, Espen Sandberg","$230,000,000 ",tt1790809,5,2017
142,Inception,WB,"$62,785,337 ",7/16/10,Christopher Nolan,"$160,000,000 ",tt1375666,7,2010
143,Hancock,Sony,"$62,603,879 ",7/2/08,Peter Berg,"$150,000,000 ",tt0448157,7,2008
144,"Monsters, Inc.",BV,"$62,577,067 ",11/2/01,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)","$115,000,000 ",tt0198781,11,2001
145,Sherlock Holmes,WB,"$62,304,277 ",12/25/09,Guy Ritchie,"$90,000,000 ",tt0988045,12,2009
146,Hulk,Uni.,"$62,128,420 ",6/20/03,Ang Lee,"$137,000,000 ",tt0286716,6,2003
147,The Lord of the Rings: The Two Towers,NL,"$62,007,528 ",12/18/02,Peter Jackson,"$94,000,000 ",tt0167261,12,2002
148,The Amazing Spider-Man,Sony,"$62,004,688 ",7/3/12,Marc Webb,"$230,000,000 ",tt0948470,7,2012
149,Clash of the Titans (2010),WB,"$61,235,105 ",4/2/10,,,,4,2010
150,Kong: Skull Island,WB,"$61,025,472 ",3/10/17,Jordan Vogt-Roberts,"$185,000,000 ",tt3731562,3,2017
151,Madagascar 3: Europe's Most Wanted,P/DW,"$60,316,738 ",6/8/12,,,,6,2012
152,Kung Fu Panda,P/DW,"$60,239,130 ",6/6/08,"Mark Osborne, John Stevenson","$130,000,000 ",tt0441773,6,2008
153,Straight Outta Compton,Uni.,"$60,200,180 ",8/14/15,F. Gary Gray,"$28,000,000 ",tt1398426,8,2015
154,Cars,BV,"$60,119,509 ",6/9/06,"John Lasseter, Joe Ranft(co-director)","$120,000,000 ",tt0317219,6,2006
155,Signs,BV,"$60,117,080 ",8/2/02,M. Night Shyamalan," $60,117,080,",tt0286106,8,2002
156,Monsters Vs. Aliens,P/DW,"$59,321,095 ",3/27/09,,,,3,2009
157,Star Trek Beyond,Par.,"$59,253,211 ",7/22/16,Justin Lin," $59,253,211,",tt2660888,7,2016
158,Jason Bourne,Uni.,"$59,215,365 ",7/29/16,Paul Greengrass,"$120,000,000 ",tt4196776,7,2016
159,Pearl Harbor,BV,"$59,078,912 ",5/25/01,Michael Bay," $75,177,654,",tt0213149,5,2001
160,Fantastic Four: Rise of the Silver Surfer,Fox,"$58,051,684 ",6/15/07,,,,6,2007
161,Hannibal,MGM,"$58,003,121 ",2/9/01,Ridley Scott,"$87,000,000 ",tt0212985,2,2001
162,Mission: Impossible II,Par.,"$57,845,297 ",5/24/00,John Woo,"$125,000,000 ",tt0120755,5,2000
164,Ant-Man,BV,"$57,225,526 ",7/17/15,Peyton Reed,"$130,000,000 ",tt0478970,7,2015
165,22 Jump Street,Sony,"$57,071,445 ",6/13/14,"Phil Lord, Christopher Miller","$50,000,000 ",tt2294449,6,2014
166,Sex and the City,WB (NL),"$57,038,404 ",5/30/08,Michael Patrick King,"$65,000,000 ",tt1000774,5,2008
167,Moana,BV,"$56,631,401 ",11/23/16,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)"," $56,631,401,",tt3521164,11,2016
168,Despicable Me,Uni.,"$56,397,125 ",7/9/10,"Pierre Coffin, Chris Renaud"," $56,397,125,",tt1323594,7,2010
169,War for the Planet of the Apes,Fox,"$56,262,929 ",7/14/17,Matt Reeves,"$150,000,000 ",tt3450958,7,2017
170,Valentine's Day,WB (NL),"$56,260,707 ",2/12/10,Dan Balcaban,16,tt1816046,2,2010
171,Snow White and the Huntsman,Uni.,"$56,217,700 ",6/1/12,Rupert Sanders,"$170,000,000 ",tt1735898,6,2012
172,Big Hero 6,BV,"$56,215,889 ",11/7/14,"Don Hall, Chris Williams"," $56,215,889,",tt2245084,11,2014
173,Charlie and the Chocolate Factory,WB,"$56,178,450 ",7/15/05,Tim Burton," $56,178,450,",tt0367594,7,2005
174,Fantastic Four (2005),Fox,"$56,061,504 ",7/8/05,,,,7,2005
175,Gravity,WB,"$55,785,112 ",10/4/13,Alfonso Cuarón,"$100,000,000 ",tt1454468,10,2013
176,The Karate Kid,Sony,"$55,665,805 ",6/11/10,John G. Avildsen," $5,031,753,",tt0087538,6,2010
177,Mission: Impossible - Rogue Nation,Par.,"$55,520,089 ",7/31/15,Christopher McQuarrie,"$150,000,000 ",tt2381249,7,2015
178,The Incredible Hulk,Uni.,"$55,414,050 ",6/13/08,Louis Leterrier,"$150,000,000 ",tt0800080,6,2008
179,The SpongeBob Movie: Sponge Out of Water,Par.,"$55,365,012 ",2/6/15,"Paul Tibbitt, Mike Mitchell","$74,000,000 ",tt2279373,2,2015
180,Watchmen,WB,"$55,214,334 ",3/6/09,Zack Snyder,"$130,000,000 ",tt0409459,3,2009
181,X-Men: First Class,Fox,"$55,101,604 ",6/3/11,Matthew Vaughn,"$160,000,000 ",tt1270798,6,2011
182,How the Grinch Stole Christmas,Uni.,"$55,082,330 ",11/17/00,Ron Howard," $55,082,330,",tt0170016,11,2000
183,The Chronicles of Narnia: Prince Caspian,BV,"$55,034,805 ",5/16/08,Andrew Adamson,"$225,000,000 ",tt0499448,5,2008
185,Rise of the Planet of the Apes,Fox,"$54,806,191 ",8/5/11,Rupert Wyatt," $54,806,191,",tt1318514,8,2011
186,The Hobbit: The Battle of the Five Armies,WB (NL),"$54,724,334 ",12/17/14,Peter Jackson,"$250,000,000 ",tt2310332,12,2014
187,G.I. Joe: The Rise of Cobra,Par.,"$54,713,046 ",8/7/09,Stephen Sommers,"$175,000,000 ",tt1046173,8,2009
188,Divergent,LG/S,"$54,607,747 ",3/21/14,Neil Burger,"$85,000,000 ",tt1840309,3,2014
189,MIB 3,Sony,"$54,592,779 ",5/25/12,N/A,,tt2872992,5,2012
190,San Andreas,WB (NL),"$54,588,173 ",5/29/15,Brad Peyton,"$110,000,000 ",tt2126355,5,2015
191,X-Men,Fox,"$54,471,475 ",7/14/00,Bryan Singer,"$75,000,000 ",tt0120903,7,2000
192,Ted,Uni.,"$54,415,205 ",6/29/12,Seth MacFarlane,"$50,000,000 ",tt1637725,6,2012
193,The Martian,Fox,"$54,308,575 ",10/2/15,Ridley Scott,"$108,000,000 ",tt3659388,10,2015
194,Night at the Museum: Battle of the Smithsonian,Fox,"$54,173,286 ",5/22/09,Shawn Levy,"$150,000,000 ",tt1078912,5,2009
195,Scooby-Doo,WB,"$54,155,312 ",6/14/02,Raja Gosnell,"$84,000,000 ",tt0267913,6,2002
