,Rank,Title,Studio,Opening,%_of_total,No_of_Theaters,Date**,Month,Year,ave_opening_by_studio,Studio_value
113,114,Maleficent,BV,69431298,28.80%,3948,5/30/14,5,2014,104914271.0,4
114,115,The Bourne Ultimatum,Uni.,69283690,30.50%,3660,8/3/07,8,2007,77343886.0,3
115,116,Pitch Perfect 2,Uni.,69216890,37.60%,3473,5/15/15,5,2015,77343886.0,3
116,117,The LEGO Movie,WB,69050279,26.80%,3775,2/7/14,2,2014,86199612.0,3
117,118,The Day After Tomorrow,Fox,68743584,36.80%,3425,5/28/04,5,2004,70657547.0,3
118,119,Planet of the Apes (2001),Fox,68532960,38.10%,3500,7/27/01,7,2001,70657547.0,3
119,120,The Mummy Returns,Uni.,68139035,33.70%,3401,5/4/01,5,2001,77343886.0,3
120,121,Up,BV,68108790,23.20%,3766,5/29/09,5,2009,104914271.0,4
121,122,Ice Age: The Meltdown,Fox,68033544,34.80%,3964,3/31/06,3,2006,70657547.0,3
122,123,Bruce Almighty,Uni.,67953330,28.00%,3483,5/23/03,5,2003,77343886.0,3
123,124,Cinderella (2015),BV,67877361,33.70%,3845,3/13/15,3,2015,104914271.0,4
124,125,Quantum of Solace,Sony,67528882,40.10%,3451,11/14/08,11,2008,78030367.0,3
125,126,Rush Hour 2,NL,67408222,29.80%,3118,8/3/01,8,2001,66006851.0,3
126,127,Frozen,BV,67391326,16.80%,3742,11/27/13,11,2013,104914271.0,4
127,128,World War Z,Par.,66411834,32.80%,3607,6/21/13,6,2013,70302989.0,3
128,129,Brave,BV,66323594,28.00%,4164,6/22/12,6,2012,104914271.0,4
129,130,Cars 2,BV,66135507,34.50%,4115,6/24/11,6,2011,104914271.0,4
130,131,X-Men: Apocalypse,Fox,65769562,42.30%,4150,5/27/16,5,2016,70657547.0,3
131,132,Thor,Par.,65723338,36.30%,3955,5/6/11,5,2011,70302989.0,3
132,133,Teenage Mutant Ninja Turtles (2014),Par.,65575105,34.30%,3845,8/8/14,8,2014,70302989.0,3
133,134,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,65556312,22.50%,3616,12/9/05,12,2005,104914271.0,4
134,135,2012,Sony,65237614,39.30%,3404,11/13/09,11,2009,78030367.0,3
135,136,Captain America: The First Avenger,Par.,65058524,36.80%,3715,7/22/11,7,2011,70302989.0,3
136,137,War of the Worlds,Par.,64878725,27.70%,3908,6/29/05,6,2005,70302989.0,3
137,138,The Twilight Saga: Eclipse,Sum.,64832191,21.60%,4468,6/30/10,6,2010,103857832.0,4
138,139,Star Wars: Episode I - The Phantom Menace,Fox,64820970,15.00%,2970,5/19/99,5,1999,70657547.0,3
139,140,Madagascar: Escape 2 Africa,P/DW,63106589,35.10%,4056,11/7/08,11,2008,79196954.0,3
140,141,WALL-E,BV,63087526,28.20%,3992,6/27/08,6,2008,104914271.0,4
141,142,Pirates of the Caribbean: Dead Men Tell No Tales,BV,62983253,36.50%,4276,5/26/17,5,2017,104914271.0,4
142,143,Inception,WB,62785337,21.50%,3792,7/16/10,7,2010,86199612.0,3
143,144,Hancock,Sony,62603879,27.50%,3965,7/2/08,7,2008,78030367.0,3
144,145,"Monsters, Inc.",BV,62577067,24.50%,3237,11/2/01,11,2001,104914271.0,4
145,146,Sherlock Holmes,WB,62304277,29.80%,3626,12/25/09,12,2009,86199612.0,3
146,147,Hulk,Uni.,62128420,47.00%,3660,6/20/03,6,2003,77343886.0,3
147,148,The Lord of the Rings: The Two Towers,NL,62007528,18.20%,3622,12/18/02,12,2002,66006851.0,3
148,149,The Amazing Spider-Man,Sony,62004688,23.70%,4318,7/3/12,7,2012,78030367.0,3
149,150,Clash of the Titans (2010),WB,61235105,37.50%,3777,4/2/10,4,2010,86199612.0,3
150,151,Kong: Skull Island,WB,61025472,36.30%,3846,3/10/17,3,2017,86199612.0,3
151,152,Madagascar 3: Europe's Most Wanted,P/DW,60316738,27.90%,4258,6/8/12,6,2012,79196954.0,3
152,153,Kung Fu Panda,P/DW,60239130,28.00%,4114,6/6/08,6,2008,79196954.0,3
153,154,Straight Outta Compton,Uni.,60200180,37.30%,2757,8/14/15,8,2015,77343886.0,3
154,155,Cars,BV,60119509,24.60%,3985,6/9/06,6,2006,104914271.0,4
155,156,Signs,BV,60117080,26.40%,3264,8/2/02,8,2002,104914271.0,4
156,157,Monsters Vs. Aliens,P/DW,59321095,29.90%,4104,3/27/09,3,2009,79196954.0,3
157,158,Star Trek Beyond,Par.,59253211,37.30%,3928,7/22/16,7,2016,70302989.0,3
158,159,Jason Bourne,Uni.,59215365,36.50%,4026,7/29/16,7,2016,77343886.0,3
159,160,Pearl Harbor,BV,59078912,29.80%,3214,5/25/01,5,2001,104914271.0,4
160,161,Fantastic Four: Rise of the Silver Surfer,Fox,58051684,44.00%,3959,6/15/07,6,2007,70657547.0,3
161,162,Hannibal,MGM,58003121,35.10%,3230,2/9/01,2,2001,58003121.0,2
162,163,Mission: Impossible II,Par.,57845297,26.90%,3653,5/24/00,5,2000,70302989.0,3
163,164,Toy Story 2,BV,57388839,23.30%,3236,11/24/99,11,1999,104914271.0,4
