,Unnamed: 0,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,ticket_price
135,139,Madagascar: Escape 2 Africa,P/DW,63106589.0,11/7/08,"Eric Darnell, Tom McGrath",63106589.0,tt0479952,Nov,2008,$7.18 
136,140,WALL-E,BV,63087526.0,6/27/08,Andrew Stanton,180000000.0,tt0910970,Jun,2008,$7.18 
137,141,Pirates of the Caribbean: Dead Men Tell No Tales,BV,62983253.0,5/26/17,"Joachim Rønning, Espen Sandberg",230000000.0,tt1790809,May,2017,$8.97 
138,142,Inception,WB,62785337.0,7/16/10,Christopher Nolan,160000000.0,tt1375666,July,2010,$7.89 
139,143,Hancock,Sony,62603879.0,7/2/08,Peter Berg,150000000.0,tt0448157,July,2008,$7.18 
140,144,"Monsters, Inc.",BV,62577067.0,11/2/01,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)",115000000.0,tt0198781,Nov,2001,$5.65 
141,145,Sherlock Holmes,WB,62304277.0,12/25/09,Guy Ritchie,90000000.0,tt0988045,Dec,2009,$7.50 
142,146,Hulk,Uni.,62128420.0,6/20/03,Ang Lee,137000000.0,tt0286716,Jun,2003,$6.03 
143,147,The Lord of the Rings: The Two Towers,NL,62007528.0,12/18/02,Peter Jackson,94000000.0,tt0167261,Dec,2002,$5.80 
144,148,The Amazing Spider-Man,Sony,62004688.0,7/3/12,Marc Webb,230000000.0,tt0948470,July,2012,$7.96 
145,149,Clash of the Titans (2010),WB,61235105.0,4/2/10,,,,Apr,2010,$7.89 
146,150,Kong: Skull Island,WB,61025472.0,3/10/17,Jordan Vogt-Roberts,185000000.0,tt3731562,Mar,2017,$8.97 
147,151,Madagascar 3: Europe's Most Wanted,P/DW,60316738.0,6/8/12,,,,Jun,2012,$7.96 
148,152,Kung Fu Panda,P/DW,60239130.0,6/6/08,"Mark Osborne, John Stevenson",130000000.0,tt0441773,Jun,2008,$7.18 
149,153,Straight Outta Compton,Uni.,60200180.0,8/14/15,F. Gary Gray,28000000.0,tt1398426,Aug,2015,$8.43 
150,154,Cars,BV,60119509.0,6/9/06,"John Lasseter, Joe Ranft(co-director)",120000000.0,tt0317219,Jun,2006,$6.55 
151,155,Signs,BV,60117080.0,8/2/02,M. Night Shyamalan,60117080.0,tt0286106,Aug,2002,$5.80 
152,156,Monsters Vs. Aliens,P/DW,59321095.0,3/27/09,,,,Mar,2009,$7.50 
153,157,Star Trek Beyond,Par.,59253211.0,7/22/16,Justin Lin,59253211.0,tt2660888,July,2016,$8.65 
154,158,Jason Bourne,Uni.,59215365.0,7/29/16,Paul Greengrass,120000000.0,tt4196776,July,2016,$8.65 
155,159,Pearl Harbor,BV,59078912.0,5/25/01,Michael Bay,75177654.0,tt0213149,May,2001,$5.65 
156,160,Fantastic Four: Rise of the Silver Surfer,Fox,58051684.0,6/15/07,,,,Jun,2007,$6.88 
157,161,Hannibal,MGM,58003121.0,2/9/01,Ridley Scott,87000000.0,tt0212985,Feb,2001,$5.65 
158,162,Mission: Impossible II,Par.,57845297.0,5/24/00,John Woo,125000000.0,tt0120755,May,2000,$5.39 
159,164,Ant-Man,BV,57225526.0,7/17/15,Peyton Reed,130000000.0,tt0478970,July,2015,$8.43 
160,165,22 Jump Street,Sony,57071445.0,6/13/14,"Phil Lord, Christopher Miller",50000000.0,tt2294449,Jun,2014,$8.17 
161,166,Sex and the City,WB (NL),57038404.0,5/30/08,Michael Patrick King,65000000.0,tt1000774,May,2008,$7.18 
162,167,Moana,BV,56631401.0,11/23/16,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)",56631401.0,tt3521164,Nov,2016,$8.65 
163,168,Despicable Me,Uni.,56397125.0,7/9/10,"Pierre Coffin, Chris Renaud",56397125.0,tt1323594,July,2010,$7.89 
164,169,War for the Planet of the Apes,Fox,56262929.0,7/14/17,Matt Reeves,150000000.0,tt3450958,July,2017,$8.97 
165,171,Snow White and the Huntsman,Uni.,56217700.0,6/1/12,Rupert Sanders,170000000.0,tt1735898,Jun,2012,$7.96 
166,172,Big Hero 6,BV,56215889.0,11/7/14,"Don Hall, Chris Williams",56215889.0,tt2245084,Nov,2014,$8.17 
167,173,Charlie and the Chocolate Factory,WB,56178450.0,7/15/05,Tim Burton,56178450.0,tt0367594,July,2005,$6.41 
168,174,Fantastic Four (2005),Fox,56061504.0,7/8/05,,,,July,2005,$6.41 
169,175,Gravity,WB,55785112.0,10/4/13,Alfonso Cuarón,100000000.0,tt1454468,Oct,2013,$8.13 
170,176,The Karate Kid,Sony,55665805.0,6/11/10,John G. Avildsen,5031753.0,tt0087538,Jun,2010,$7.89 
171,177,Mission: Impossible - Rogue Nation,Par.,55520089.0,7/31/15,Christopher McQuarrie,150000000.0,tt2381249,July,2015,$8.43 
172,178,The Incredible Hulk,Uni.,55414050.0,6/13/08,Louis Leterrier,150000000.0,tt0800080,Jun,2008,$7.18 
173,179,The SpongeBob Movie: Sponge Out of Water,Par.,55365012.0,2/6/15,"Paul Tibbitt, Mike Mitchell",74000000.0,tt2279373,Feb,2015,$8.43 
174,180,Watchmen,WB,55214334.0,3/6/09,Zack Snyder,130000000.0,tt0409459,Mar,2009,$7.50 
175,181,X-Men: First Class,Fox,55101604.0,6/3/11,Matthew Vaughn,160000000.0,tt1270798,Jun,2011,$7.93 
176,182,How the Grinch Stole Christmas,Uni.,55082330.0,11/17/00,Ron Howard,55082330.0,tt0170016,Nov,2000,$5.39 
177,183,The Chronicles of Narnia: Prince Caspian,BV,55034805.0,5/16/08,Andrew Adamson,225000000.0,tt0499448,May,2008,$7.18 
178,185,Rise of the Planet of the Apes,Fox,54806191.0,8/5/11,Rupert Wyatt,54806191.0,tt1318514,Aug,2011,$7.93 
179,186,The Hobbit: The Battle of the Five Armies,WB (NL),54724334.0,12/17/14,Peter Jackson,250000000.0,tt2310332,Dec,2014,$8.17 
180,187,G.I. Joe: The Rise of Cobra,Par.,54713046.0,8/7/09,Stephen Sommers,175000000.0,tt1046173,Aug,2009,$7.50 
181,188,Divergent,LG/S,54607747.0,3/21/14,Neil Burger,85000000.0,tt1840309,Mar,2014,$8.17 
182,189,MIB 3,Sony,54592779.0,5/25/12,,,tt2872992,May,2012,$7.96 
183,190,San Andreas,WB (NL),54588173.0,5/29/15,Brad Peyton,110000000.0,tt2126355,May,2015,$8.43 
184,191,X-Men,Fox,54471475.0,7/14/00,Bryan Singer,75000000.0,tt0120903,July,2000,$5.39 
185,192,Ted,Uni.,54415205.0,6/29/12,Seth MacFarlane,50000000.0,tt1637725,Jun,2012,$7.96 
186,193,The Martian,Fox,54308575.0,10/2/15,Ridley Scott,108000000.0,tt3659388,Oct,2015,$8.43 
187,194,Night at the Museum: Battle of the Smithsonian,Fox,54173286.0,5/22/09,Shawn Levy,150000000.0,tt1078912,May,2009,$7.50 
188,195,Scooby-Doo,WB,54155312.0,6/14/02,Raja Gosnell,84000000.0,tt0267913,Jun,2002,$5.80 
189,196,Cars 3,BV,53688680.0,6/16/17,Brian Fee,175000000.0,tt3606752,Jun,2017,$8.97 
190,197,Green Lantern,WB,53174303.0,6/17/11,Martin Campbell,200000000.0,tt1133985,Jun,2011,$7.93 
191,198,The Wolverine,Fox,53113752.0,7/26/13,James Mangold,120000000.0,tt1430132,July,2013,$8.13 
192,199,The LEGO Batman Movie,WB,53003468.0,2/10/17,Chris McKay,80000000.0,tt4116284,Feb,2017,$8.97 
193,201,Paranormal Activity 3,Par.,52568183.0,10/21/11,"Henry Joost, Ariel Schulman",5000000.0,tt1778304,Oct,2011,$7.93 
