,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
185,The SpongeBob Movie: Sponge Out of Water,Par.,"$55,365,012",2/6/2015,,,,2,2015,,,
187,X-Men: First Class,Fox,"$55,101,604",6/3/2011,,,,6,2011,,,
191,Rise of the Planet of the Apes,Fox,"$54,806,191",8/5/2011,,,,8,2011,,,
192,The Hobbit: The Battle of the Five Armies,WB (NL),"$54,724,334",12/17/2014,,,,12,2014,,,
194,Divergent,LG/S,"$54,607,747",3/21/2014,,,,3,2014,,,
195,MIB 3,Sony,"$54,592,779",5/25/2012,,,,5,2012,,,
196,San Andreas,WB (NL),"$54,588,173",5/29/2015,,,,5,2015,,,
198,Ted,Uni.,"$54,415,205",6/29/2012,,,,6,2012,,,
199,The Martian,Fox,"$54,308,575",10/2/2015,,,,10,2015,,,
202,Cars 3,BV,"$53,688,680",6/16/2017,,,,6,2017,,,
203,Green Lantern,WB,"$53,174,303",6/17/2011,,,,6,2011,,,
204,The Wolverine,Fox,"$53,113,752",7/26/2013,,,,7,2013,,,
205,The LEGO Batman Movie,WB,"$53,003,468",2/10/2017,,,,2,2017,,,
207,Paranormal Activity 3,Par.,"$52,568,183",10/21/2011,,,,10,2011,,,
210,The Divergent Series: Insurgent,LG/S,"$52,263,680",3/20/2015,,,,3,2015,,,
213,Home (2015),Fox,"$52,107,731",3/27/2015,,,,3,2015,,,
217,Prometheus,Fox,"$51,050,101",6/8/2012,,,,6,2012,,,
219,Coco,BV,"$50,802,605",11/22/2017,,,,11,2017,,,
222,Dunkirk,WB,"$50,513,488",7/21/2017,,,,7,2017,,,
224,Jackass 3-D,Par.,"$50,353,641",10/15/2010,,,,10,2010,,,
227,A Quiet Place,Par.,"$50,203,562",4/6/2018,,,,4,2018,,,
228,The Boss Baby,Fox,"$50,198,902",3/31/2017,,,,3,2017,,,
230,The Great Gatsby (2013),WB,"$50,085,185",5/10/2013,,,,5,2013,,,
6,Taken 2,Fox,"$49,514,769",10/5/2012,"Anthony Russo, Joe Russo",,tt4154756,4,2018,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Fantasy","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
7,How to Train Your Dragon 2,Fox,"$49,451,322",6/13/2014,J.J. Abrams,,tt2488496,12,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Action, Adventure, Fantasy","Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)"
8,Rush Hour 3,NL,"$49,100,158",8/10/2007,Rian Johnson,,tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)"
9,Wreck-It Ralph,BV,"$49,038,712",11/2/2012,Colin Trevorrow,,tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)"
10,Neighbors,Uni.,"$49,033,915",5/9/2014,,,,5,2012,,,
11,Alvin and the Chipmunks: The Squeakquel,Fox,"$48,875,415",12/23/2009,Ryan Coogler,,tt1825683,2,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","Action, Adventure, Sci-Fi","Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel Comics by), Jack Kirby (based on the Marvel Comics by)"
12,Tangled,BV,"$48,767,052",11/24/2010,Joss Whedon,,tt2395427,5,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)"
13,Batman Begins,WB,"$48,745,440",6/15/2005,Brad Bird,,tt3606756,6,2018,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Animation, Action, Adventure",Brad Bird
14,The Matrix Revolutions,WB,"$48,475,154",11/5/2003,"Anthony Russo, Joe Russo",,tt3498820,5,2016,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
15,Hotel Transylvania 2,Sony,"$48,464,322",9/25/2015,,,,3,2017,,,
16,Scary Movie 3,Dim.,"$48,113,770",10/24/2003,Shane Black,,tt1300854,5,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Sci-Fi","Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)"
17,The Fault in our Stars,Fox,"$48,002,523",6/6/2014,David Yates,,tt1201607,7,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","Steve Kloves (screenplay), J.K. Rowling (novel)"
18,Mission: Impossible III,Par.,"$47,743,273",5/5/2006,Zack Snyder,,tt2975590,3,2016,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Fantasy","Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)"
19,Lara Croft: Tomb Raider,Par.,"$47,735,743",6/15/2001,Christopher Nolan,,tt1345836,7,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Thriller","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)"
21,The Longest Yard,Par.,"$47,606,480",5/27/2005,Francis Lawrence,,tt1951264,11,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","Action, Adventure, Mystery","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)"
22,Shark Tale,DW,"$47,604,606",10/1/2004,Gareth Edwards,,tt3748528,12,2016,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi","Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)"
23,Interstellar,Par.,"$47,510,360",11/7/2014,Gary Ross,,tt1392170,3,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","Adventure, Sci-Fi, Thriller","Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)"
25,The Lord of the Rings: The Fellowship of the Ring,NL,"$47,211,490",12/19/2001,J.A. Bayona,,tt4881806,6,2018,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi","Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
26,Die Another Day,MGM,"$47,072,040",11/22/2002,James Wan,,tt2820852,4,2015,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)"
27,Talladega Nights: The Ballad of Ricky Bobby,Sony,"$47,042,215",8/4/2006,James Gunn,,tt3896198,5,2017,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Action, Adventure, Sci-Fi","James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)"
29,Jurassic Park,Uni.,"$47,026,828",6/11/1993,Bill Condon,,tt1673434,11,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)"
30,Troy,WB,"$46,865,412",5/14/2004,N/A,,tt2395475,11,2011,Juley Ross,Short,N/A
32,Ice Age: Continental Drift,Fox,"$46,629,259",7/13/2012,,,,6,2016,,,
33,Fifty Shades Darker,Uni.,"$46,607,250",2/10/2017,,,,8,2016,,,
34,Trolls,Fox,"$46,581,142",11/4/2016,,,,2,2016,,,
35,Bad Boys II,Sony,"$46,522,560",7/18/2003,,,,5,2010,,,
36,Ice Age,Fox,"$46,312,454",3/15/2002,,,,5,2018,,,
37,Angels & Demons,Sony,"$46,204,168",5/15/2009,,,,11,2010,,,
38,Meet the Fockers,Uni.,"$46,120,980",12/22/2004,,,,9,2017,,,
39,Ghostbusters (2016),Sony,"$46,018,755",7/15/2016,,,,11,2017,,,
40,Megamind,P/DW,"$46,016,833",11/5/2010,,,,11,2014,,,
42,Mission: Impossible,Par.,"$45,436,830",5/22/1996,,,,7,2017,,,
43,Mad Max: Fury Road,WB,"$45,428,128",5/15/2015,,,,6,2013,,,
44,Ghost Rider,Sony,"$45,388,836",2/16/2007,,,,3,2010,,,
45,American Pie 2,Uni.,"$45,117,985",8/10/2001,,,,7,2015,,,
48,The Hangover,WB,"$44,979,319",6/5/2009,,,,6,2010,,,
52,Alvin and the Chipmunks,Fox,"$44,307,417",12/14/2007,,,,7,2016,,,
53,The Peanuts Movie,Fox,"$44,213,073",11/6/2015,,,,4,2016,,,
54,Godzilla,Sony,"$44,047,541",5/20/1998,,,,6,2017,,,
57,Lucy,Uni.,"$43,899,340",7/25/2014,,,,11,2015,,,
59,Noah,Par.,"$43,720,472",3/28/2014,,,,6,2014,,,
60,The Croods,Fox,"$43,639,736",3/22/2013,,,,4,2017,,,
62,The Mummy,Uni.,"$43,369,635",5/7/1999,,,,6,2011,,,
63,Hitch,Sony,"$43,142,214",2/11/2005,,,,5,2013,,,
64,Batman and Robin,WB,"$42,872,605",6/20/1997,,,,4,2014,,,
65,Terminator Salvation,WB,"$42,558,390",5/21/2009,,,,8,2014,,,
66,Hotel Transylvania,Sony,"$42,522,194",9/28/2012,,,,11,2017,,,
68,Shrek,DW,"$42,347,760",5/16/2001,,,,5,2014,,,
70,Anger Management,SonR,"$42,220,847",4/11/2003,,,,5,2014,,,
71,High School Musical 3: Senior Year,BV,"$42,030,184",10/24/2008,,,,5,2014,,,
72,The Conjuring,WB (NL),"$41,855,326",7/19/2013,,,,6,2015,,,
74,Ice Age: Dawn of the Dinosaurs,Fox,"$41,690,382",7/1/2009,,,,5,2011,,,
75,The Hangover Part III,WB,"$41,671,198",5/23/2013,,,,1,2015,,,
76,Ocean's 8,WB,"$41,607,378",6/8/2018,,,,3,2017,,,
77,Big Daddy,Sony,"$41,536,370",6/25/1999,,,,11,2012,,,
80,Grown Ups 2,Sony,"$41,508,572",7/12/2013,,,,4,2011,,,
81,The Perfect Storm,WB,"$41,325,042",6/30/2000,,,,5,2011,,,
82,Kung Fu Panda 3,Fox,"$41,282,042",1/29/2016,,,,11,2013,,,
84,Deep Impact,Par.,"$41,152,375",5/8/1998,,,,2,2015,,,
85,Shutter Island,Par.,"$41,062,440",2/19/2010,,,,11,2016,,,
87,Independence Day: Resurgence,Fox,"$41,039,944",6/24/2016,,,,12,2012,,,
88,Tyler Perry's Madea Goes to Jail,LGF,"$41,030,947",2/20/2009,,,,5,2018,,,
90,Casino Royale,Sony,"$40,833,156",11/17/2006,,,,7,2013,,,
91,Paranormal Activity 2,Par.,"$40,678,424",10/22/2010,,,,6,2013,,,
