,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer,Ratings
27,The Messengers,SGem,"$14,713,321",2/2/2007,"Danny Pang, Oxide Chun Pang",,tt0425430,5,2017,"Kristen Stewart, Dylan McDermott, Penelope Ann Miller, John Corbett","Horror, Mystery, Thriller","Mark Wheaton (screenplay), Todd Farmer (story)",0.12
29,Overboard (2018),PNT,"$14,711,101",5/4/2018,Michael Lembeck,,tt0452681,11,2012,"Tim Allen, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold","Adventure, Comedy, Family","Ed Decter, John J. Strauss, Leo Benvenuti (characters), Steve Rudnick (characters)",0.17
30,Ali,Sony,"$14,710,892",12/25/2001,Michael Mann,,tt0248667,11,2011,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles","Biography, Drama, Sport","Gregory Allen Howard (story), Stephen J. Rivele (screenplay), Christopher Wilkinson (screenplay), Eric Roth (screenplay), Michael Mann (screenplay)",0.67
32,War Dogs,WB,"$14,685,305",8/19/2016,Todd Phillips,,tt2005151,6,2016,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz","Comedy, Crime, Drama","Stephen Chin (screenplay), Todd Phillips (screenplay), Jason Smilovic (screenplay), Guy Lawson (Rolling Stone article ""Arms and the Dudes"")",0.59
33,Vacation,WB (NL),"$14,681,108",7/29/2015,"John Francis Daley, Jonathan Goldstein",,tt1524930,8,2016,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins","Adventure, Comedy","Jonathan Goldstein, John Francis Daley, John Hughes (characters)",0.26
34,Absolute Power,Sony,"$14,678,016",2/14/1997,Clint Eastwood,,tt0118548,2,2016,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney","Action, Crime, Drama","David Baldacci (book), William Goldman (screenplay)",0.47
35,Hope Springs,Sony,"$14,650,121",8/8/2012,David Frankel,,tt1535438,5,2010,"Meryl Streep, Tommy Lee Jones, Steve Carell, Jean Smart","Comedy, Drama, Romance",Vanessa Taylor,0.75
36,Smokin' Aces,Uni.,"$14,638,755",1/26/2007,Joe Carnahan,,tt0475394,5,2018,"Ryan Reynolds, Ray Liotta, Joseph Ruskin, Alex Rocco","Action, Crime, Drama",Joe Carnahan,0.3
37,Sky High,BV,"$14,631,784",7/29/2005,Mike Mitchell,,tt0405325,11,2010,"Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker","Adventure, Comedy, Family","Paul Hernandez, Robert Schooley, Mark McCorkle",0.73
38,Diary of a Wimpy Kid: Dog Days,Fox,"$14,623,599",8/3/2012,David Bowers,,tt2023453,9,2017,"Zachary Gordon, Steve Zahn, Robert Capron, Devon Bostick","Comedy, Family","Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay by), Jeff Kinney (based upon the book by)",0.51
39,Private Parts,Par.,"$14,616,333",3/7/1997,Betty Thomas,,tt0119951,11,2017,"Howard Stern, Robin Quivers, Mary McCormack, Fred Norris","Biography, Comedy, Drama","Howard Stern (book), Len Blum (screenplay), Michael Kalesniko (screenplay)","{'Source': 'Metacritic', 'Value': '67/100'}"
40,Star Wars: The Clone Wars,WB,"$14,611,273",8/15/2008,Dave Filoni,,tt1185834,11,2014,"Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker","Animation, Action, Adventure","Henry Gilroy, Steven Melching, Scott Murphy",0.18
42,The Number 23,NL,"$14,602,867",2/23/2007,Joel Schumacher,,tt0481369,7,2017,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston","Action, Drama, Mystery",Fernley Phillips,0.08
43,The Thomas Crown Affair,MGM,"$14,600,719",8/6/1999,John McTiernan,,tt0155267,6,2013,"Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara","Crime, Romance, Thriller","Alan Trustman (story), Leslie Dixon (screenplay), Kurt Wimmer (screenplay)",0.7
44,Volcano,Fox,"$14,581,740",4/25/1997,Mick Jackson,,tt0120461,3,2010,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle","Action, Drama, Sci-Fi","Jerome Armstrong (story), Jerome Armstrong (screenplay), Billy Ray (screenplay)",0.48
45,Cold Mountain,Mira.,"$14,574,213",12/25/2003,Anthony Minghella,,tt0159365,7,2015,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins","Adventure, Drama, History","Charles Frazier (book), Anthony Minghella (screenplay)",0.7
48,Crossroads,Par.,"$14,527,187",2/15/2002,Tamra Davis,,tt0275022,6,2010,"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning","Comedy, Drama, Romance",Shonda Rhimes,0.14
52,Life as We Know It,WB,"$14,506,464",10/8/2010,Greg Berlanti,,tt1055292,7,2016,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett","Comedy, Drama, Romance","Ian Deitchman, Kristin Robinson",0.29
53,Nanny McPhee,Uni.,"$14,503,650",1/27/2006,Kirk Jones,,tt0396752,4,2016,"Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster","Comedy, Family, Fantasy","Emma Thompson (screenplay), Christianna Brand (""Nurse Matilda"" books)",0.73
54,Next Friday,NL,"$14,465,156",1/12/2000,Steve Carr,,tt0195945,6,2017,"Ice Cube, Mike Epps, Justin Pierce, John Witherspoon",Comedy,"Ice Cube (characters), DJ Pooh (characters), Ice Cube",0.2
57,Sphere,WB,"$14,433,957",2/13/1998,Barry Levinson,,tt0120184,11,2015,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote","Drama, Horror, Mystery","Michael Crichton (novel), Kurt Wimmer (adaptation), Stephen Hauser (screenplay), Paul Attanasio (screenplay)",0.12
